ID_Credito,NoPago,FechaPago,SaldoInicial,CapitalPagado,InteresesPagados,SaldoFinal
70700,1,2022/01/15,40000.0,957.36,333.33,39042.64
70700,2,2022/02/15,39042.64,965.33,325.36,38077.31
70700,3,2022/04/15,38077.31,973.38,317.31,37103.93
70700,4,2022/05/15,37103.93,981.49,309.2,36122.44
70700,5,2022/06/15,36122.44,989.67,301.02,35132.77
70700,6,2022/07/15,35132.77,997.92,292.77,34134.85
70700,7,2022/08/15,34134.85,1006.23,284.46,33128.62
70700,8,2022/09/15,33128.62,1014.62,276.07,32114.0
70700,9,2022/10/15,32114.0,1023.07,267.62,31090.93
70700,10,2022/11/15,31090.93,1031.6,259.09,30059.33
70700,11,2022/12/15,30059.33,1040.2,250.49,29019.13
70700,12,2023/01/15,29019.13,1048.86,241.83,27970.27
70700,13,2023/02/15,27970.27,1057.6,233.09,26912.67
70700,14,2023/04/15,26912.67,1066.42,224.27,25846.25
70700,15,2023/05/15,25846.25,1075.3,215.39,24770.95
70700,16,2023/06/15,24770.95,1084.27,206.42,23686.68
70700,17,2023/07/15,23686.68,1093.3,197.39,22593.38
70700,18,2023/08/15,22593.38,1102.41,188.28,21490.97
70700,19,2023/09/15,21490.97,1111.6,179.09,20379.37
70700,20,2023/10/15,20379.37,1120.86,169.83,19258.51
70700,21,2023/11/15,19258.51,1130.2,160.49,18128.31
70700,22,2023/12/15,18128.31,1139.62,151.07,16988.69
70700,23,2024/01/15,16988.69,1149.12,141.57,15839.57
70700,24,2024/02/15,15839.57,1158.69,132.0,14680.88
70700,25,2024/04/15,14680.88,1168.35,122.34,13512.53
70700,26,2024/05/15,13512.53,1178.09,112.6,12334.44
70700,27,2024/06/15,12334.44,1187.9,102.79,11146.54
70700,28,2024/07/15,11146.54,1197.8,92.89,9948.74
70700,29,2024/08/15,9948.74,1207.78,82.91,8740.96
70700,30,2024/09/15,8740.96,1217.85,72.84,7523.11
70700,31,2024/10/15,7523.11,1228.0,62.69,6295.11
70700,32,2024/11/15,6295.11,1238.23,52.46,5056.88
70700,33,2024/12/15,5056.88,1248.55,42.14,3808.33
70700,34,2025/01/15,3808.33,1258.95,31.74,2549.38
70700,35,2025/02/15,2549.38,1269.45,21.24,1279.93
70700,36,2025/04/15,1279.93,1280.02,10.67,0
